Zone,Year,Day of the Week,Time Period,Acc. Count,,,,,,,,
Birmingham,2005,Thursday,19:00 - 20:00,39,,,,,,,,
Birmingham,2005,Thursday,20:00 - 21:00,19,,,,,,,,
Birmingham,2005,Thursday,21:00 - 22:00,24,,,,,,,,
Birmingham,2005,Thursday,22:00 - 23:00,14,,,,,,,,
Birmingham,2005,Thursday,23:00 - 24:00,11,Total accident count ( Thursday ),582,,,,,,
Birmingham,2005,Friday,00:00 - 01:00,10,,,,,,,,
Birmingham,2005,Friday,01:00 - 02:00,6,,,,,,,,
Birmingham,2005,Friday,02:00 - 03:00,1,,,,,,,,
Birmingham,2005,Friday,03:00 - 04:00,3,,,,,,,,
Birmingham,2005,Friday,04:00 - 05:00,2,,,,,,,,
Birmingham,2005,Friday,05:00 - 06:00,4,,,,,,,,
Birmingham,2005,Friday,06:00 - 07:00,9,,,,,,,,
Birmingham,2005,Friday,07:00 - 08:00,25,,,,,,,,
Birmingham,2005,Friday,08:00 - 09:00,46,,,,,,,,
Birmingham,2005,Friday,09:00 - 10:00,32,,,,,,,,
Birmingham,2005,Friday,10:00 - 11:00,22,,,,,,,,
Birmingham,2005,Friday,11:00 - 12:00,33,,,,,,,,
Birmingham,2005,Friday,12:00 - 13:00,34,,,,,,,,
Birmingham,2005,Friday,13:00 - 14:00,34,,,,,,,,
Birmingham,2005,Friday,14:00 - 15:00,35,,,,,,,,
Birmingham,2005,Friday,15:00 - 16:00,60,,,,,,,,
Birmingham,2005,Friday,16:00 - 17:00,48,,,,,,,,
Birmingham,2005,Friday,17:00 - 18:00,42,,,,,,,,
Birmingham,2005,Friday,18:00 - 19:00,56,,,,,,,,
Birmingham,2005,Friday,19:00 - 20:00,45,,,,,,,,
Birmingham,2005,Friday,20:00 - 21:00,29,,,,,,,,
Birmingham,2005,Friday,21:00 - 22:00,29,,,,,,,,
Birmingham,2005,Friday,22:00 - 23:00,20,,,,,,,,
Birmingham,2005,Friday,23:00 - 24:00,14,Total accident count ( Friday ),639,,,,,,
Birmingham,2005,Saturday,00:00 - 01:00,15,,,,,,,,
Birmingham,2005,Saturday,01:00 - 02:00,11,,,,,,,,
Birmingham,2005,Saturday,02:00 - 03:00,14,,,,,,,,
Birmingham,2005,Saturday,03:00 - 04:00,7,,,,,,,,
Birmingham,2005,Saturday,04:00 - 05:00,7,,,,,,,,
Birmingham,2005,Saturday,05:00 - 06:00,2,,,,,,,,
Birmingham,2005,Saturday,06:00 - 07:00,7,,,,,,,,
Birmingham,2005,Saturday,07:00 - 08:00,5,,,,,,,,
Birmingham,2005,Saturday,08:00 - 09:00,11,,,,,,,,
Birmingham,2005,Saturday,09:00 - 10:00,20,,,,,,,,
Birmingham,2005,Saturday,10:00 - 11:00,26,,,,,,,,
Birmingham,2005,Saturday,11:00 - 12:00,39,,,,,,,,
Birmingham,2005,Saturday,12:00 - 13:00,38,,,,,,,,
Birmingham,2005,Saturday,13:00 - 14:00,44,,,,,,,,
Birmingham,2005,Saturday,14:00 - 15:00,47,,,,,,,,
Birmingham,2005,Saturday,15:00 - 16:00,31,,,,,,,,
Birmingham,2005,Saturday,16:00 - 17:00,43,,,,,,,,
Birmingham,2005,Saturday,17:00 - 18:00,42,,,,,,,,
Birmingham,2005,Saturday,18:00 - 19:00,42,,,,,,,,
Birmingham,2005,Saturday,19:00 - 20:00,38,,,,,,,,
Birmingham,2005,Saturday,20:00 - 21:00,28,,,,,,,,
Birmingham,2005,Saturday,21:00 - 22:00,19,,,,,,,,
Birmingham,2005,Saturday,22:00 - 23:00,21,,,,,,,,
Birmingham,2005,Saturday,23:00 - 24:00,19,Total accident count ( Saturday ),576,,,,,,
Birmingham,2005,Sunday,00:00 - 01:00,16,,,,,,,,
Birmingham,2005,Sunday,01:00 - 02:00,18,,,,,,,,
Birmingham,2005,Sunday,02:00 - 03:00,18,,,,,,,,
Birmingham,2005,Sunday,03:00 - 04:00,10,,,,,,,,
Birmingham,2005,Sunday,04:00 - 05:00,4,,,,,,,,
Birmingham,2005,Sunday,05:00 - 06:00,2,,,,,,,,
Birmingham,2005,Sunday,06:00 - 07:00,10,,,,,,,,
Birmingham,2005,Sunday,07:00 - 08:00,8,,,,,,,,
Birmingham,2005,Sunday,08:00 - 09:00,3,,,,,,,,
Birmingham,2005,Sunday,09:00 - 10:00,4,,,,,,,,
Birmingham,2005,Sunday,10:00 - 11:00,14,,,,,,,,
Birmingham,2005,Sunday,11:00 - 12:00,19,,,,,,,,
Birmingham,2005,Sunday,12:00 - 13:00,27,,,,,,,,
Birmingham,2005,Sunday,13:00 - 14:00,32,,,,,,,,
Birmingham,2005,Sunday,14:00 - 15:00,26,,,,,,,,
Birmingham,2005,Sunday,15:00 - 16:00,36,,,,,,,,
Birmingham,2005,Sunday,16:00 - 17:00,36,,,,,,,,
Birmingham,2005,Sunday,17:00 - 18:00,33,,,,,,,,
Birmingham,2005,Sunday,18:00 - 19:00,32,,,,,,,,
Birmingham,2005,Sunday,19:00 - 20:00,33,,,,,,,,
Birmingham,2005,Sunday,20:00 - 21:00,25,,,,,,,,
Birmingham,2005,Sunday,21:00 - 22:00,32,,,,,,,,
Birmingham,2005,Sunday,22:00 - 23:00,11,,,,,,,,
Birmingham,2005,Sunday,23:00 - 24:00,18,Total accident count ( Sunday ),467,,Total accident count ( Year ),,,,4084
,,,,,,,,,,,,
